年份,主队名称,客队名称,阶段,阶段类型,参赛次数差,比赛场次差,场均进球差,场均失球差,净胜球差,成绩排名差,近3届场均进球差,近3届胜率差,场均净胜球差,淘汰赛胜率差,小组赛胜率差,场均半场进球差,半场胜率差,交锋胜场,交锋平局,交锋负场,交锋净胜球,交锋总场次,交锋胜率,胜负结果,胜负编码
1950,Uruguay,Sweden,小组赛,0,-1,-1,0.75,-1.85,10,20.0,0.75,0.0,2.6,0.0,1.0,0.3999999999999999,0.09999999999999998,0,0,0,0,0,0.0,主队胜,1
1950,Sweden,Spain,小组赛,0,1,2,1.6666666666666667,1.6,1,40.0,1.6666666666666667,0.33333333333333337,0.06666666666666665,0.33333333333333337,0.0,0.6000000000000001,0.06666666666666671,0,0,0,0,0,0.0,主队胜,1
1950,Uruguay,Brazil,小组赛,0,-2,-4,1.25,-1.25,8,20.0,1.25,0.125,2.5,0.19999999999999996,0.0,1.75,0.375,0,0,0,0,0,0.0,主队胜,1
1954,Uruguay,Czechoslovakia,小组赛,0,0,1,1.75,-0.2857142857142858,17,0.0,1.75,-0.1071428571428571,2.0357142857142856,0.16666666666666663,-0.16666666666666663,1.3214285714285714,0.0892857142857143,0,0,0,0,0,0.0,主队胜,1
1954,Austria,Scotland,小组赛,0,1,4,1.75,1.75,0,80.0,1.75,1.0,0.0,1.0,0.0,0.5,0.25,0,0,0,0,0,0.0,主队胜,1
1954,Brazil,Mexico,小组赛,0,2,8,2.0,-2.261904761904762,37,70.0,2.416666666666667,-0.16666666666666663,4.261904761904762,0.8,-0.11111111111111116,0.6904761904761905,0.42857142857142855,1,0,0,4,1,1.0,主队胜,1
1954,Yugoslavia,France,小组赛,0,-1,0,0.6666666666666667,0.0,4,20.0,0.3333333333333335,0.0,0.6666666666666667,0.0,0.0,-0.16666666666666663,0.0,0,0,0,0,0,0.0,主队胜,1
1954,Switzerland,Italy,小组赛,0,0,-3,-0.7045454545454546,1.0,-18,-60.0,-0.7045454545454546,-0.15909090909090906,-1.7045454545454546,0.125,-0.4,-0.125,-0.20454545454545453,0,0,0,0,0,0.0,主队胜,1
1954,Germany FR,Turkey,小组赛,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,主队胜,1
1954,Hungary,Korea Republic,小组赛,0,2,6,3.3333333333333335,1.5,11,100.0,3.3333333333333335,1.0,1.8333333333333335,1.0,1.0,1.8333333333333333,0.5,0,0,0,0,0,0.0,主队胜,1
1954,England,Belgium,小组赛,0,-2,-1,-0.08333333333333337,-2.3333333333333335,9,0.0,-0.8333333333333334,0.0,2.25,-1.0,0.0,-0.4166666666666667,0.08333333333333331,0,0,0,0,0,0.0,平局,0
1954,Uruguay,Scotland,小组赛,0,2,8,3.75,1.0,22,100.0,3.75,0.75,2.75,1.0,0.8333333333333334,1.75,0.375,0,0,0,0,0,0.0,主队胜,1
1954,Austria,Czechoslovakia,小组赛,0,-1,-3,-0.25,0.4642857142857142,-5,-20.0,-0.25,0.1428571428571429,-0.7142857142857142,0.16666666666666663,-1.0,0.07142857142857145,-0.0357142857142857,0,0,0,0,0,0.0,主队胜,1
1954,Brazil,Yugoslavia,小组赛,0,2,8,0.6666666666666665,-0.09523809523809534,16,20.0,0.75,-0.16666666666666663,0.7619047619047619,-0.19999999999999996,-0.11111111111111116,0.023809523809523725,0.09523809523809523,1,0,1,1,2,0.5,平局,0
1954,France,Mexico,小组赛,0,1,0,0.6666666666666667,-2.166666666666667,17,30.0,1.3333333333333335,0.0,2.8333333333333335,1.0,0.0,0.8333333333333334,0.3333333333333333,1,0,0,3,1,1.0,主队胜,1
1954,Hungary,Germany FR,小组赛,0,2,6,3.3333333333333335,1.5,11,100.0,3.3333333333333335,1.0,1.8333333333333335,1.0,1.0,1.8333333333333333,0.5,0,0,0,0,0,0.0,主队胜,1
1954,Turkey,Korea Republic,小组赛,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,主队胜,1
1954,Italy,Belgium,小组赛,0,0,7,1.7045454545454546,-2.0,25,90.0,0.9545454545454546,-0.09090909090909094,3.7045454545454546,-0.125,0.0,0.25,0.20454545454545453,0,0,0,0,0,0.0,主队胜,1
1954,England,Switzerland,小组赛,0,-2,-5,-1.0833333333333335,-1.3333333333333335,2,-30.0,-1.0833333333333335,0.25,0.25,-1.0,0.4,-0.5416666666666667,0.08333333333333331,0,0,0,0,0,0.0,主队胜,1
1954,Germany FR,Turkey,小组赛,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,主队胜,1
1954,Switzerland,Italy,小组赛,0,0,-3,-0.7045454545454546,1.0,-18,-60.0,-0.7045454545454546,-0.15909090909090906,-1.7045454545454546,0.125,-0.4,-0.125,-0.20454545454545453,0,0,0,0,0,0.0,主队胜,1
1954,Uruguay,England,1/4决赛,1,1,5,3.0833333333333335,0.33333333333333337,22,90.0,3.0833333333333335,-0.25,2.75,1.0,-0.16666666666666663,1.4166666666666667,0.041666666666666685,0,0,0,0,0,0.0,主队胜,1
1954,Austria,Switzerland,1/4决赛,1,-2,-4,0.0,-0.25,2,40.0,0.0,0.25,0.25,0.0,-0.6,-0.375,0.0,0,0,0,0,0,0.0,主队胜,1
1954,Germany FR,Yugoslavia,1/4决赛,1,-2,-6,-2.3333333333333335,-1.6666666666666667,-4,-60.0,-2.3333333333333335,-1.0,-0.6666666666666667,-1.0,-1.0,-0.8333333333333334,-0.3333333333333333,0,0,0,0,0,0.0,主队胜,1
1954,Hungary,Brazil,1/4决赛,1,-2,-8,0.3333333333333335,-0.0714285714285714,-9,20.0,0.25,0.16666666666666663,0.4047619047619049,0.19999999999999996,0.11111111111111116,0.9761904761904762,0.07142857142857145,0,0,0,0,0,0.0,主队胜,1
1954,Germany FR,Austria,半决赛,1,-1,-4,-1.75,-1.75,0,-80.0,-1.75,-1.0,0.0,-1.0,0.0,-0.5,-0.25,0,0,0,0,0,0.0,主队胜,1
1954,Hungary,Uruguay,半决赛,1,0,-2,-0.4166666666666665,0.5,-11,0.0,-0.4166666666666665,0.25,-0.9166666666666665,0.0,0.16666666666666663,0.08333333333333326,0.125,0,0,0,0,0,0.0,主队胜,1
